,brand,category,stars,num_of_reviews,disc_price,act_price
204,Campus,Men's Royce-2 Running Shoes  ,4.0,10732,849.0,1049.0
205,Bacca Bucci,Men's Walking Shoe  ,3.5,563,1399.0,2999.0
206,Bourge,Mens Loire-z187 Running Shoes  ,3.8,574,299.0,1499.0
207,ASIAN,"Men's SPLENDOR-01 Sports Running,Walking,Gym Shoes with Lightweight Phylon Sole with Memory Foam Casual Sneaker Shoes for Men's & Boy's  ",5.0,3,1149.0,2199.0
208,LANCER,Mens Indus-215 Hiking Shoe  ,3.8,396,663.0,1249.0
209,BATA,"Mens Swift Casual Shoes, (8586018)  ",3.8,20,51647.0,999.0
210,Bourge,Mens Loire-z169 Running Shoes  ,3.9,56,999.0,1999.0
211,Sportstar,Women's Sneaker  ,4.0,3196,799.0,1299.0
212,Bourge,Mens Moda-z1 Running Shoes  ,4.1,1729,339.0,1699.0
213,Bourge,Mens Loire-z195 Sneaker  ,3.7,51,699.0,2199.0
214,Woodland,Mens OGC 3608119 Sneaker  ,4.1,481,2921.0,3895.0
215,ASIAN,"Men's Wind-04 Sports Walking,Running & Gym Shoes with Eva Sole Casual Lightweight Slip-On Shoes for Men's & Boy's  ",3.7,156,599.0,1299.0
216,Sparx,Mens Sm-724 Sneaker  ,No reviews,0,1329.0,1399.0
217,Adidas,Men's Adispree 5.0 M Running Shoes  ,4.1,1029,1899.0,3799.0
218,Sparx,Men's Running Shoes  ,4.0,7105,1274.0,1499.0
219,BRUTON,"Men's World shoe-01 Running, Sports, Gym, Phylon Sports Shoes  ",3.3,100,299.0,1299.0
220,Fila,Mens Ragun Plus Sneaker  ,3.6,20,1119.0,3299.0
221,ASIAN,"Men's SKYPEE-33 High Top Casual Chunky Fashion Sneakers,Dancing Shoes | Basketball Shoes with Rubber Outsole for Boys  ",3.5,481,599.0,999.0
222,ASIAN,Men's Grey Walking Shoe - 12 UK  ,3.8,230,549.0,799.0
223,Sparx,Womens Sx0175l Running Shoes  ,4.3,5566,873.0,1099.0
224,Karam,Karam Leather Safety Black Shoes FS-05 - Size 7  ,4.1,1176,1288.0,2500.0
225,Red Chief,Leather with Lace Casual Shoes for Men RC3424  ,3.8,2140,2076.0,5399.0
226,ASIAN,"Men's Coolfoam-01 Sports Running,Walking & Gym Shoes Casual Sneaker Shoes for Men's & Boy's…  ",3.4,53,1149.0,2299.0
227,Campus,Men's Dragon Running Shoes  ,3.8,2918,1999.0,2499.0
228,Woodland,Mens Ogcc 3465119 Closed Shoe  ,4.0,50,2376.0,3495.0
229,ASIAN,"Boy's YODHA-02 Sports Running,Walking Shoes with Lightweight EVA Sole with Memory Form Casual Sneaker Shoes for Boy's  ",2.1,3,699.0,1279.0
230,Liberty,Men LS-2005 Sports Shoes  ,3.9,875,789.0,1299.0
231,Puma,Mens Pure Xt Fresh Training Shoe  ,5.0,3,4129.0,6999.0
232,ASIAN,Men's Plasma-05 Sports Running Shoes for Men I Sport Shoes for Boys with Eva Sole for Extra Jump I Casual Shoes for Men's & Boy's  ,3.7,458,599.0,1249.0
233,Bacca Bucci,Men's Running Shoe  ,3.9,2233,1299.0,2499.0
234,ASIAN,"Women's Elasto-02 Knitted,Sports,Walking,Slipon Shoes  ",4.1,10546,649.0,1499.0
235,Red Tape,Men's Walking Shoes  ,3.9,41,1247.0,5199.0
236,Amico,"Men's Air Series Mesh Casual,Walking,Running/Gymwear Shoes…  ",2.9,251,499.0,1499.0
237,Inklenzo,"218 First Shoe for Running, Walking, Gym Sports Shoes for Men Casual Outdoors for dailyuse Black,Blue,Grey  ",3.0,56,499.0,999.0
238,Bacca Bucci,Men's Running Shoes  ,4.2,258,1199.0,2499.0
239,Reebok,Womens Fortune Walker W Walking Shoe  ,4.0,1,1876.0,3799.0
240,Vellinto,Oxford Class Designer Patent Leatherette Shining Lace-Up Party Formal Shoes  ,4.0,1683,665.0,1299.0
241,Puma,Unisex-Adult Flyer Runner Mesh Black-high Risk R Low Boot  ,4.2,2526,2015.0,4999.0
242,Campus,Men's Everest Running Shoes  ,3.7,1284,999.0,1499.0
243,Reebok,Mens Stride Walker Walking Shoe  ,4.0,735,1363.0,2299.0
244,Bacca Bucci,Ironman Everyday Running/Walking/Training Shoe with High Abrasion Rubber Outsole with Molded EVA Sockliner  ,4.0,1,1599.0,3499.0
245,ASIAN,"Men's Hattrick-26 Sports,Running,Walking,Gym Shoes & Casual Sneaker Shoes for Men's & Boy's  ",3.7,267,699.0,1499.0
246,BRUTON,"Sport Shoes, Gym Shoes, Sports Shoes, Trendy Shoes, Running Shoes for Men (Pack of 2)  ",3.7,3,539.0,2499.0
247,ASIAN,"Men's Velocity-01 Sports Running, Walking & Gym Shoes with Eva Sole | Lightweight Casual Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8,900,649.0,999.0
248,Bourge,Mens Loire-z-175 Running Shoe  ,3.8,47,549.0,1899.0
249,Power,Mens Gallop Blue Shoes - 6 UK (8399039)  ,3.9,174,896.0,1299.0
250,Sparx,Men's Synthetic Running Shoes  ,4.0,6242,1402.0,1649.0
251,ASIAN,"Men's Legend-01 Sports Running,Walking,Gym Shoes with Max Cushion Technology Lightweight Phylon Sole with Memory Foam Insole Casual Sneaker Shoes for Men's & Boy's  ",5.0,5,1299.0,2599.0
252,ENJOY the celebration people,Enjoy Mesh Shoes for Men | Comfortable & Lightweight Trendy Walking & Running Shoes Lace Up | Sneakers for Men | Gym & Workout Shoe Black  ,1.8,3,524.0,1499.0
253,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes - Grey Bolts | Wide Toe Box | Zero Drop Sole |  ,4.0,98,2499.0,2799.0
254,Adidas,Men's Clinch-X M Running Shoe  ,4.0,3731,1484.0,2699.0
255,BRUTON,"Shoes, Men's Sports Shoes, Perfect Sport Shoes & Running Shoes for Men's (Pack of 2 Combo)  ",3.2,41,539.0,2499.0
256,Sparx,Mens Sm-796 Running  ,3.6,18,2232.0,2349.0
257,Sparx,Mens Sx0708g Running Shoe  ,4.2,17,1147.0,1349.0
258,Sparx,Mens Sm-724 Sneaker  ,0.0,0,1329.0,1399.0
259,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes – All Terrain Blue Dash | Wide Toe Box | Zero Drop Sole |  ,3.4,6,3299.0,3799.0
260,ASIAN,Women's Sports Shoes  ,4.1,10546,649.0,1499.0
261,Red Tape,Men's Walking Shoes  ,3.9,41,1247.0,5199.0
262,Amico,"Men's Air Series Mesh Casual,Walking,Running/Gymwear Shoes…  ",2.9,251,499.0,1499.0
263,Inklenzo,"218 First Shoe for Running, Walking, Gym Sports Shoes for Men Casual Outdoors for dailyuse Black,Blue,Grey  ",3.0,56,499.0,999.0
264,Bacca Bucci,Men's Running Shoes  ,4.2,258,1199.0,2499.0
265,Reebok,Womens Fortune Walker W Walking Shoe  ,4.0,1,1876.0,3799.0
266,Vellinto,Lace-up Formal Shoes  ,4.0,1683,665.0,1299.0
267,Puma,Unisex-Adult Flyer Runner Mesh Black-high Risk R Low Boot  ,4.2,2526,2015.0,4999.0
268,Campus,Men's Everest Running Shoes  ,3.7,1284,999.0,1499.0
269,Reebok,Mens Stride Walker Walking Shoe  ,4.0,735,1363.0,2299.0
270,Campus,Men's Rudra Running Shoes  ,4.0,70,57671.0,1299.0
271,Columbus,"Apollo Plus Sports Shoes - Running, Walking, Gym, Lightweight, Comfort Grip - for Men's & Boy  ",0.0,0,1495.0,1699.0
272,Bacca Bucci,Ironman Everyday Running/Walking/Training Shoe with High Abrasion Rubber Outsole with Molded EVA Sockliner  ,4.0,1,1599.0,3499.0
273,ASIAN,"Men's Hattrick-26 Sports,Running,Walking,Gym Shoes & Casual Sneaker Shoes for Men's & Boy's  ",3.7,267,699.0,1499.0
274,Bourge,Mens Loire-z-175 Running Shoe  ,3.8,47,549.0,1899.0
275,Power,Mens Gallop Blue Shoes - 6 UK (8399039)  ,3.9,174,896.0,1299.0
276,BRUTON,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,3.0,135,359.0,1299.0
277,Adidas,Men's Adispree 5.0 M Running Shoes  ,4.1,1029,1899.0,3799.0
278,Sparx,Men's Running Shoes  ,4.0,7105,1274.0,1499.0
279,Adidas,Mens Klench M Running Shoes  ,3.7,210,3179.0,5299.0
280,ASIAN,"Boy's YODHA-04 Sports Running,Walking Shoes with Lightweight EVA Sole with Memory Form Casual Sneaker Shoes for Boy's  ",0.0,0,699.0,1199.0
281,Sparx,Men's Synthetic Running Shoes  ,4.0,6242,1402.0,1649.0
282,Walkaroo,Men's Running Shoes (WS3027)  ,3.7,51,51242.0,629.0
283,Allen Cooper,Sports Shoes for Men  ,3.6,517,1287.0,4295.0
284,Puma,Womens Pop WNS Running Shoes  ,4.2,228,2070.0,4499.0
285,Adidas,Mens Men's Fraizer M Running Shoes  ,4.0,777,1920.0,4799.0
286,Amazon Brand - Symbol,Mens Shoes  ,3.7,501,499.0,1999.0
287,Centrino,Men's 7504-3 Road Running Shoe  ,3.6,364,-1.0,-1.0
288,Campus,Men's Meteor Running Shoes  ,4.0,186,974.0,1299.0
289,Campus,Men's League Running Shoes  ,4.3,67,799.0,999.0
290,Campus,Men's MAGNITE Running Shoes  ,4.0,334,949.0,1299.0
291,Liberty,Force 10 Runn-1_N.Blue Men Sports Shoes  ,4.3,353,1499.0,1499.0
292,Bourge,Mens Loire-z151 Running Shoes  ,3.6,119,399.0,1999.0
293,Generic,Tor Shoes Steel Toe Safety Shoes for Men **Genuine Leather Shoes **Sturdy & Durable Design  ,3.7,7,949.0,2299.0
294,Puma,Mens Lite Pro Sneaker  ,3.6,36,1879.0,3999.0
295,REXIVO,"Wonder-Black Running Shoes,Training Shoes,Gym Shoes,Sports Shoes for Men- RX08-P  ",3.0,8,499.0,1799.0
296,Sparx,mens Sm-632 Running Shoe  ,3.9,798,1349.0,1899.0
297,Fusefit,Men's Milan 3.0 Running Shoe  ,3.5,15,399.0,1999.0
298,AFROJACK,Men's Running Shoes  ,3.8,47,751.0,2999.0
299,Bersache,"Sports Shoes for Men | Latest Stylish Sports Shoes for Men | Lace-Up Lightweight (Light Grey) Shoes for Running, Walking, Gym,Trekking and Hiking Shoes for Men (ORI-9027)  ",3.6,46,1299.0,4999.0
300,Sparx,Men's Sx0679g Running Shoe  ,4.1,148,934.0,1099.0
301,BATA,Men's Formal Shoes  ,3.7,1121,949.0,999.0
302,Campus,Gents Camp-Glacier Running Shoes  ,3.4,21,1249.0,1399.0
303,Generic,Shoes For Men Gym Running  ,2.7,511,398.0,998.0
304,Woodland,Mens Gc 4447022 Sneaker  ,0.0,0,3495.0,3495.0
305,Liberty,Liberty Freedom VIJYATA-2A Lightweight Safety Shoes for Men  ,3.2,300,897.0,899.0
306,Adidas,Mens Hyperon-1.0-m Running Shoe  ,3.9,1692,136484.0,2999.0
307,ASIAN,"Men's TORNADO-01 Sports Running,Walking,Gym Shoes for Men I Casual Sports Shoes for Boys with Beeds Technology Sole for Extra Jump I Memory Foam Insole Shoes for Men's & Boy's  ",4.0,10,1249.0,2299.0
308,Bourge,Men's Loire-z5 Running Shoes  ,3.7,453,899.0,1799.0
309,Red Tape,Men Black Walking Shoes  ,3.9,13,1271.0,5299.0
310,Bourge,Mens Loire-z-504 Running Shoe  ,4.0,48,379.0,1899.0
311,Bersache,"Sports Shoes for Men|Black for Running,Walking,Gym and Hiking Shoes ORI-9030  ",4.7,4,1299.0,4999.0
312,ENJOY the celebration people,Enjoy Mesh Shoes for Men | Comfortable & Lightweight Trendy Walking & Running Shoes Lace Up | Sneakers for Men | Gym & Workout Shoe Black  ,1.8,3,524.0,1499.0
313,BRUTON,"Men's World shoe-01 Running, Sports, Gym, Phylon Sports Shoes  ",3.3,100,299.0,1299.0
314,Adidas,Men's Clinch-X M Running Shoe  ,4.0,3731,1484.0,2699.0
315,ASIAN,Men's Running Shoes  ,3.8,6449,524.0,649.0
316,Sparx,Mens Sm-796 Running  ,3.6,18,2232.0,2349.0
317,ANDUNE,Men's Barefoot & Minimalist Cross Training Shoes – All Terrain Blue Dash | Wide Toe Box | Zero Drop Sole |  ,3.4,6,3299.0,3799.0
318,Adidas,Mens Runmagica M Running Shoes  ,3.9,846,2364.0,4299.0
319,Sparx,Mens Sx0708g Running Shoe  ,4.2,17,1147.0,1349.0
320,Allen Cooper,Sports Shoes for Men  ,3.6,517,1287.0,4295.0
321,Power,Mens Gallop Blue Shoes - 6 UK (8399039)  ,3.9,174,896.0,1299.0
322,BRUTON,Shoes for Trendy Shoes | Gym Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,2.5,5,359.0,1299.0
323,Generic,Shoes For Men Gym Running  ,2.7,511,398.0,998.0
324,AFROJACK,Men's Running Shoes  ,3.8,47,751.0,2999.0
325,ASIAN,Women's For Women Girls  ,3.9,1179,499.0,999.0
326,Liberty,Force 10 Runn-1_N.Blue Men Sports Shoes  ,4.3,353,1499.0,1499.0
327,Amazon Brand - Symbol,Mens Shoes  ,3.7,501,499.0,1999.0
328,Unistar,"Jogging, Walking & Running (Narrow Toe) Shoes; 036-White  ",3.6,40,399.0,499.0
329,Sparx,Men's Sx0679g Running Shoe  ,4.1,148,934.0,1099.0
330,Bourge,Mens Loire-z119 Running Shoe  ,3.7,73,949.0,1999.0
331,Sparx,Men's Synthetic Running Shoes  ,4.0,6242,1402.0,1649.0
332,REXIVO,"Wonder-Black Running Shoes,Training Shoes,Gym Shoes,Sports Shoes for Men- RX08-P  ",3.0,8,499.0,1799.0
333,Campus,Men's Ree-FLECT (N) Running Shoes  ,3.8,445,3098.0,3499.0
334,Kraasa,"Casual Sneakers for Women | Latest Trend Casual Shoes, Walking Shoes for Women  ",3.8,200,339.0,999.0
335,Klepe,Men's Black Running Shoes  ,3.7,170,699.0,1699.0
336,BRUTON,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,3.0,135,359.0,1299.0
337,Sparx,Mens Sm-724 Sneaker  ,Only 1 left in stock.,0,1329.0,1399.0
338,ASIAN,Men's Running Shoes  ,3.8,6449,524.0,649.0
339,Adidas,Mens Klench M Running Shoes  ,3.7,210,3179.0,5299.0
340,Woodland,Mens OGC 3608119 Sneaker  ,4.1,481,2921.0,3895.0
341,Puma,Mens Lite Pro Sneaker  ,3.6,36,1879.0,3999.0
342,BATA,"Mens Swift Casual Shoes, (8586018)  ",3.8,20,51647.0,999.0
343,Klepe,Mens St-m-2080 Running Shoe  ,3.7,31,83448.0,2999.0
344,Fusefit,Men's Milan 3.0 Running Shoe  ,3.5,15,399.0,1999.0
345,Bacca Bucci,Men's Walking Shoe  ,3.5,563,1399.0,2999.0
346,Bourge,Womens Micam-z53 Running Shoes  ,4.1,1105,799.0,1499.0
347,Columbus,"Kinetic Sports Shoes - Running, Walking, Gym, Lightweight, Comfort Grip - for Men's & Boy  ",0.0,0,899.0,1499.0
348,Bersache,"Sports Shoes for Men|Black for Running,Walking,Gym and Hiking Shoes ORI-9030  ",4.7,4,1299.0,4999.0
349,Campus,Men's Allen Casual Shoes  ,4.0,169,974.0,1499.0
350,BRUTON,"No. 001 Men's Sports, Walking, Gym, Training, Running Shoes (Set of 2 Pair)  ",2.6,21,549.0,1299.0
351,Centrino,Men's 7508-3 Road Running Shoe  ,3.6,260,299.0,1499.0
352,Reebok,Mens Reebok Royal Glide Rpl Sneaker  ,4.5,149,3664.0,5599.0
353,Sparx,mens Sm-632 Running Shoe  ,3.9,798,1349.0,1899.0
354,Reebok,Mens Stride Walker Walking Shoe  ,4.0,735,1363.0,2299.0
355,Bourge,Mens Loire-z64 Running Shoes  ,4.1,501,339.0,1699.0
